,Team,Season,Record,Loss Streaks in season,Finals Stats,Phil Jackson Achieved
316,Hawks,1985-86,50-32,5,CSF Exit,False
317,Pacers,1985-86,26-56,12,Not Qualified,False
318,Cavaliers,1985-86,29-53,13,Not Qualified,False
319,76ers,1985-86,54-28,7,CSF Exit,True
320,Lakers,1985-86,62-20,1,CF Exit,True
321,Rockets,1985-86,51-31,6,Runner Up,False
322,Nets,1985-86,39-43,12,FR Exit,False
323,Knicks,1985-86,23-59,13,Not Qualified,False
324,Bulls,1985-86,30-52,12,FR Exit,False
325,Trail Blazers,1985-86,40-42,9,FR Exit,False
326,Clippers,1985-86,32-50,13,Not Qualified,False
327,Nuggets,1985-86,47-35,11,CSF Exit,False
328,Jazz,1985-86,42-40,10,FR Exit,False
329,Bullets,1985-86,39-43,10,FR Exit,False
330,Suns,1986-87,36-46,10,Not Qualified,False
331,Spurs,1986-87,28-54,12,Not Qualified,False
332,Nuggets,1986-87,37-45,11,FR Exit,False
333,Pacers,1986-87,41-41,11,FR Exit,False
334,Mavericks,1986-87,55-27,5,FR Exit,True
335,Cavaliers,1986-87,31-51,13,Not Qualified,False
336,76ers,1986-87,45-37,10,FR Exit,False
337,Bullets,1986-87,42-40,10,FR Exit,False
338,Bucks,1986-87,50-32,7,CSF Exit,False
339,Lakers,1986-87,65-17,2,Champ,True
340,Jazz,1986-87,44-38,10,FR Exit,False
341,Celtics,1986-87,59-23,4,Runner Up,True
342,Clippers,1986-87,12-70,9,Not Qualified,False
343,SuperSonics,1986-87,39-43,10,CF Exit,False
344,Kings,1986-87,29-53,12,Not Qualified,False
345,Bulls,1986-87,40-42,10,FR Exit,False
346,Trail Blazers,1986-87,49-33,8,FR Exit,False
347,Knicks,1986-87,24-58,13,Not Qualified,False
348,Hawks,1986-87,57-25,6,CSF Exit,False
349,Rockets,1986-87,42-40,8,CSF Exit,False
350,Nets,1986-87,24-58,13,Not Qualified,False
351,Pistons,1986-87,52-30,7,CF Exit,True
352,Warriors,1986-87,42-40,13,CSF Exit,False
353,Pistons,1987-88,54-28,7,Runner Up,True
354,Jazz,1987-88,47-35,9,CSF Exit,False
355,Lakers,1987-88,62-20,5,Champ,True
356,Mavericks,1987-88,53-29,8,CF Exit,True
357,Nets,1987-88,19-63,12,Not Qualified,False
358,SuperSonics,1987-88,44-38,10,FR Exit,False
359,Bucks,1987-88,42-40,9,FR Exit,False
360,76ers,1987-88,36-46,13,Not Qualified,False
361,Pacers,1987-88,38-44,11,Not Qualified,False
362,Bullets,1987-88,38-44,10,FR Exit,False
363,Kings,1987-88,24-58,13,Not Qualified,False
364,Spurs,1987-88,31-51,15,FR Exit,False
365,Suns,1987-88,28-54,13,Not Qualified,False
366,Knicks,1987-88,38-44,12,FR Exit,False
367,Nuggets,1987-88,54-28,5,CSF Exit,True
368,Hawks,1987-88,50-32,6,CSF Exit,False
369,Trail Blazers,1987-88,53-29,6,FR Exit,True
